都道府県,指揮支援隊,大阪府大隊（陸上）,大阪府大隊（航空）
北海道（札幌市）,該当なし,該当なし,該当なし
青森県,該当なし,該当なし,該当なし
岩手県,該当なし,該当なし,該当なし
宮城県（仙台市）,該当なし,該当なし,該当なし
秋田県,該当なし,該当なし,該当なし
山形県,該当なし,該当なし,該当なし
福島県,該当なし,該当なし,該当なし
茨城県,待命、※出動エリアに該当,該当なし,待命、※出動準備航空小隊に該当
栃木県,待命、※出動エリアに該当,該当なし,待命、※出動準備航空小隊に該当
群馬県,待命、※出動エリアに該当,該当なし,待命、※出動準備航空小隊に該当
埼玉県（さいたま市）,待命、※出動エリアに該当,該当なし,待命、※出動準備航空小隊に該当
千葉県（千葉市）,待命、※出動エリアに該当,該当なし,待命、※出動準備航空小隊に該当
東京都,待命、※出動エリアに該当,該当なし,待命、※出動準備航空小隊に該当
神奈川県（横浜市、川崎市、相模原市）,待命、※出動エリアに該当,該当なし,待命、※出動準備航空小隊に該当
新潟県（新潟市）,該当なし,該当なし,該当なし
富山県,待命（京都市が対応不可の場合部隊長代行）、※出動エリアに該当,待命、※出動準備都道府県大隊に該当,待命、※出動準備航空小隊に該当
石川県,待命（京都市が対応不可の場合部隊長代行）、※出動エリアに該当,待命、※出動準備都道府県大隊に該当,待命、※出動準備航空小隊に該当
福井県,待命（京都市が対応不可の場合部隊長代行）、※出動エリアに該当,待命、※出動準備都道府県大隊に該当,出動準備、※第一次出動航空小隊に該当
山梨県,待命、※出動エリアに該当,該当なし,待命、※出動準備航空小隊に該当
長野県,待命、※出動エリアに該当,該当なし,待命、※出動準備航空小隊に該当
岐阜県,待命、※出動エリアに該当,待命、※出動準備都道府県大隊に該当,待命、※出動準備航空小隊に該当
静岡県（静岡市、浜松市）,待命、※出動エリアに該当,待命、※出動準備都道府県大隊に該当,待命、※出動準備航空小隊に該当
愛知県（名古屋市）,待命、※出動エリアに該当,待命、※出動準備都道府県大隊に該当,待命、※出動準備航空小隊に該当
三重県,待命、※出動エリアに該当,待命、※出動準備都道府県大隊に該当,出動準備、※第一次出動航空小隊に該当
滋賀県,待命（京都市が対応不可の場合部隊長代行）、※出動エリアに該当,待命、※出動準備都道府県大隊に該当,出動準備、※第一次出動航空小隊に該当
京都府（京都市）,待命（京都市が対応不可の場合部隊長代行）、※出動エリアに該当,出動準備（統合機動部隊）、待命（その他府大隊）、※第一次出動都道府県大隊に該当,出動準備、※第一次出動航空小隊に該当
大阪府（大阪市、堺市）,出動準備（部隊長）、※出動エリアに該当,該当なし,該当なし
兵庫県（神戸市）,出動準備（部隊長）、※出動エリアに該当,出動準備（統合機動部隊）、待命（その他府大隊）、※第一次出動都道府県大隊に該当,出動準備、※第一次出動航空小隊に該当
奈良県,待命（京都市が対応不可の場合部隊長代行）、※出動エリアに該当,出動準備（統合機動部隊）、待命（その他府大隊）、※第一次出動都道府県大隊に該当,出動準備、※第一次出動航空小隊に該当
和歌山県,出動準備（部隊長）、※出動エリアに該当,出動準備（統合機動部隊）、待命（その他府大隊）、※第一次出動都道府県大隊に該当,出動準備、※第一次出動航空小隊に該当
鳥取県,待命、※出動エリアに該当,待命、※出動準備都道府県大隊に該当,出動準備、※第一次出動航空小隊に該当
島根県,待命、※出動エリアに該当,該当なし,待命、※出動準備航空小隊に該当
岡山県（岡山市）,待命、※出動エリアに該当,待命、※出動準備都道府県大隊に該当,待命、※出動準備航空小隊に該当
広島県（広島市）,待命、※出動エリアに該当,待命、※出動準備都道府県大隊に該当,待命、※出動準備航空小隊に該当
山口県,待命、※出動エリアに該当,該当なし,待命、※出動準備航空小隊に該当
徳島県,待命、※出動エリアに該当,待命、※出動準備都道府県大隊に該当,出動準備、※第一次出動航空小隊に該当
香川県,待命、※出動エリアに該当,待命、※出動準備都道府県大隊に該当,出動準備、※第一次出動航空小隊に該当
愛媛県,待命、※出動エリアに該当,待命、※出動準備都道府県大隊に該当,待命、※出動準備航空小隊に該当
高知県,待命、※出動エリアに該当,待命、※出動準備都道府県大隊に該当,待命、※出動準備航空小隊に該当
福岡県（北九州市、福岡市）,待命、※出動エリアに該当,該当なし,待命、※出動準備航空小隊に該当
佐賀県,待命、※出動エリアに該当,該当なし,待命、※出動準備航空小隊に該当
長崎県,待命、※出動エリアに該当,該当なし,待命、※出動準備航空小隊に該当
熊本県（熊本市）,待命、※出動エリアに該当,該当なし,待命、※出動準備航空小隊に該当
大分県,待命、※出動エリアに該当,該当なし,待命、※出動準備航空小隊に該当
宮崎県,待命、※出動エリアに該当,該当なし,待命、※出動準備航空小隊に該当
鹿児島県,待命、※出動エリアに該当,該当なし,待命、※出動準備航空小隊に該当
沖縄県,待命、※出動エリアに該当,該当なし,待命、※出動準備航空小隊に該当